"visit_date","utm_source","utm_medium","utm_campaign","visitor_count","total_coast","leads_count","purchase_count","revenue"
2023-06-01,yandex,cpc,freemium,103,21654,103,25,2397711
2023-06-30,admitad,cpa,admitad,2,,2,2,1810350
2023-06-20,telegram,cpp,base-java,1,,1,1,1511920
2023-06-01,yandex,cpc,prof-frontend,78,57138,78,12,1228748
2023-06-01,yandex,cpc,prof-python,62,33026,62,7,805620
2023-06-01,yandex,cpc,base-python,31,12524,31,7,562101
2023-06-01,vk,cpc,prof-java,23,3115,23,2,465452
2023-06-01,yandex,cpc,prof-data-analytics,14,10086,14,2,372304
2023-06-01,yandex,cpc,prof-java,49,29490,49,4,368840
2023-06-20,admitad,cpa,admitad,3,,3,1,363280
2023-06-01,vk,cpc,prof-python,40,2028,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,43,3160,43,5,338083
2023-06-01,yandex,cpc,base-frontend,40,18061,40,3,271440
2023-06-01,yandex,cpc,base-professions-retarget,4,151,4,1,268200
2023-06-01,yandex,cpc,prof-professions-brand,13,4818,13,3,237342
